PointID,MeasuringAgency
SO-0189,NMISC
SO-0190,NMBGMR
SO-0190,NMISC
SO-0191,NMBGMR
SO-0191,NMISC
SO-0192,NMBGMR
SO-0192,NMISC
SO-0193,NMBGMR
SO-0193,NMISC
SO-0194,NMBGMR
SO-0194,NMISC
SO-0195,NMBGMR
SO-0195,NMISC
SO-0196,NMBGMR
SO-0196,NMISC
SO-0197,NMBGMR
SO-0197,NMISC
SO-0198,NMBGMR
SO-0198,NMISC
SO-0200,NMBGMR
SO-0200,NMISC
SO-0201,NMBGMR
SO-0201,NMISC
SO-0202,NMBGMR
SO-0202,NMISC
SO-0203,NMBGMR
SO-0203,NMISC
SO-0204,NMBGMR
SO-0204,NMISC
SO-0205,NMBGMR
SO-0205,NMISC
SO-0206,NMBGMR
SO-0206,NMISC
SO-0207,NMBGMR
SO-0207,NMISC
SO-0208,NMBGMR
SO-0208,NMISC
SO-0209,NMBGMR
SO-0209,NMISC
SO-0210,NMBGMR
SO-0210,NMISC
SO-0211,NMBGMR
SO-0211,NMISC
SO-0212,NMBGMR
SO-0212,NMISC
SO-0223,NMBGMR
SO-0223,NMISC
SO-0224,NMBGMR
SO-0224,NMISC
SO-0225,NMBGMR
SO-0225,NMISC
SO-0226,NMBGMR
SO-0226,NMISC
SO-0234,NMBGMR
SO-0234,NMISC
SO-0235,NMBGMR
SO-0235,NMISC
SO-0236,NMBGMR
SO-0236,NMISC
SO-0237,NMBGMR
SO-0237,NMISC
SO-0238,NMBGMR
SO-0238,NMISC
SO-0239,NMBGMR
SO-0239,NMISC
SO-0240,NMBGMR
SO-0240,NMISC
SO-0244,NMBGMR
SO-0244,NMISC
SO-0244,NMT
SO-0245,NMBGMR
SO-0245,NMISC
SO-0245,NMT
SO-0246,NMBGMR
SO-0246,NMISC
SO-0246,NMT
SO-0247,NMBGMR
SO-0247,NMISC
SO-0247,NMT
SO-0248,NMBGMR
SO-0248,NMISC
