NMAquiferTable,MatchField,SamplePtID,WCLab_ID,SamplePointID,AnalysesAgency,StudySample,DataQuality,SampleType,CollectionDate,CollectionMethod,CollectedBy,WaterType,SampleNotes,DataSource,SampleMaterialNotH2O,OBJECTID,LocationId,AddedDaytoDate,AddedMonthDaytoDate,SSMA_TimeStamp,PublicRelease
dbo.Chemistry SampleInfo,DataSource,2D6AD1D1-56E1-4BED-90FF-738E49E06A51,,NM-09502B,USGS,,true,SD,1952-07-29 00:00:00.000,U,A,,,USGS,,7264,9F0AAAEB-5C4D-4E1E-9F9B-0A78D3CEE050,false,false,0x0000000000025ED9,true
dbo.Chemistry SampleInfo,DataSource,E43C886F-7ECC-4078-8430-76AE11879071,,NM-08909A,USGS,,true,SD,2014-07-23 00:00:00.000,U,A,,,USGS,,7233,F53BE625-4477-4DDF-A7AC-F42A3D5BC299,false,false,0x0000000000025F4C,true
dbo.Chemistry SampleInfo,DataSource,6EB6286E-4D9B-48DC-B833-773032F5456D,,NM-09290B,USGS,,true,SD,1954-04-29 00:00:00.000,U,A,,,USGS,,7242,792D289F-7AE5-4F0B-9710-3B5E8BDE9F17,false,false,0x0000000000025F68,true
dbo.Chemistry SampleInfo,DataSource,A9D8B2F8-5449-4008-99A3-7866FBB0B1F4,,NM-09532C,USGS,,true,SD,2014-07-22 00:00:00.000,U,A,,,USGS,,7279,1BB68F6C-64FE-4B2D-83C1-1620D48DDD98,false,false,0x0000000000025F93,true
dbo.Chemistry SampleInfo,DataSource,0115B6AF-8090-4C5E-AFE1-8000080EF4EE,,TC-307A,USGS,,true,SD,2016-10-25 00:00:00.000,U,A,,Sample collected by Amy Gallanter. Chemistry data provided by USGS.,USGS,,6777,3BB203CE-3A0C-46A0-8F0C-1B40E52287D6,false,false,0x00000000000260C2,true
dbo.Chemistry SampleInfo,DataSource,A618BB7A-D03E-4A81-B209-80864FE585B7,,NM-09575C,USGS,,true,SD,1948-09-21 00:00:00.000,U,A,,,USGS,,7285,0036B672-6D0F-4272-BD3D-F134839A3A84,false,false,0x00000000000260DF,true
dbo.Chemistry SampleInfo,DataSource,B8651F0E-1FB4-47C8-BD43-84052C13B39C,,NM-09589B,USGS,,true,SD,1955-09-16 00:00:00.000,U,A,,,USGS,,7290,06FB0F61-C661-40DD-BD45-C93BE941EC15,false,false,0x0000000000026179,true
dbo.Chemistry SampleInfo,DataSource,60BEBC3D-0E90-4A5C-8ECB-8432A3DE14D0,,NM-09552A,USGS,,true,SD,1956-10-01 00:00:00.000,U,A,,,USGS,,7280,5C9F74E2-8626-4251-AA38-F050735FA75C,false,false,0x0000000000026184,true
dbo.Chemistry SampleInfo,DataSource,4CF48330-DAA7-49F1-B94F-877C0218E303,,NM-09575E,USGS,,true,SD,1951-03-22 00:00:00.000,U,A,,,USGS,,7287,0036B672-6D0F-4272-BD3D-F134839A3A84,false,false,0x0000000000026212,true
dbo.Chemistry SampleInfo,DataSource,1288DE0A-DCE1-487A-AFA6-885F70CE0FE2,,NM-06342A,USGS,,true,SD,1948-02-06 00:00:00.000,U,A,,,USGS,,7180,DAC185D2-0BD1-46BD-B7FC-DDFCF1800EC3,false,false,0x0000000000026233,true
dbo.Chemistry SampleInfo,DataSource,DAC37C3A-5250-4052-A511-8B08C41A3554,,NM-00262L,USGS,,true,SD,1956-01-27 00:00:00.000,U,A,,,USGS,,7192,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x0000000000026297,true
dbo.Chemistry SampleInfo,DataSource,B00B8557-A599-4F75-878A-8B2728122BE1,,NM-00055B,USGS,,true,SD,1964-06-30 00:00:00.000,U,A,,,USGS,,7172,B3230166-D96C-4314-8B10-BCC7BF225598,false,false,0x000000000002629E,true
dbo.Chemistry SampleInfo,DataSource,6951AE26-10A1-43E4-B577-8C53A3917C80,,NM-00183A,USGS,,true,SD,1957-04-26 00:00:00.000,U,A,,,USGS,,7178,AA8C1F44-A6B5-4E55-B7FB-68617544C1AB,false,false,0x00000000000262CD,true
