Old Table Name,Old Column Name,Reason
AllWQ_CrossTab_NDs_Working_bak,SiO2,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Ag_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Hg,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Se_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,ORP,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,ALK,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Zn_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,TritiumHeliumAge,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Ni,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,GA,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,C14_years,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,pHL,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Sn,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,U238,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Zn,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Sr87Sr86Ratio,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Mg,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,NO3_N,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,TN,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,NO2,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Rn,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,d18O_SO4,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Tritium,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Na,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,As_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,B,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CONDLAB,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,NO2_N,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Sr,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CFC113,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,V_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,TAn,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,V,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,U233,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,pHf,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,SO4,No corresponding sheet (expected 'NMAquifer_{old table name}')
AR_Distances,ID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AR_Distances,RiverDistance,No corresponding sheet (expected 'NMAquifer_{old table name}')
AR_Distances,COBorderDistance,No corresponding sheet (expected 'NMAquifer_{old table name}')
AR_Distances,LocationID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AR_Distances,SSMA_TimeStamp,No corresponding sheet (expected 'NMAquifer_{old table name}')
AR_Distances,DitchDistance,No corresponding sheet (expected 'NMAquifer_{old table name}')
AR_Distances,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssocDataPhotos,AssocID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssocDataPhotos,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssocDataPhotos,OLEPath,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssocDataPhotos,OBJECTID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssocDataPhotos,GlobalID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssociatedData,LocationId,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssociatedData,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssociatedData,AssocID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssociatedData,Notes,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssociatedData,Formation,No corresponding sheet (expected 'NMAquifer_{old table name}')
AssociatedData,OBJECTID,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,ID,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,MeasureMethod,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,Well IDKey,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,Well Name,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,Status,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,MeasureDate,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,BTW_bgs,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,Source,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,Agency,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,Notes,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,PR,No corresponding sheet (expected 'NMAquifer_{old table name}')
BCWLs2019,MPhgt,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,SamplePtID,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,WCLab_ID,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,SamplePointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,AnalysesAgency,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,StudySample,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,DataQuality,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,SampleType,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,CollectionDate,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,CollectionMethod,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,CollectedBy,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,WaterType,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,SampleNotes,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,DataSource,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,SampleMaterialNotH2O,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,OBJECTID,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,LocationId,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,AddedDaytoDate,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,AddedMonthDaytoDate,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,SSMA_TimeStamp,No corresponding sheet (expected 'NMAquifer_{old table name}')
Chemistry SampleInfo,PublicRelease,No corresponding sheet (expected 'NMAquifer_{old table name}')
DatatypeWPointid,LocationId,No corresponding sheet (expected 'NMAquifer_{old table name}')
DatatypeWPointid,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
DatatypeWPointid,DataType,No corresponding sheet (expected 'NMAquifer_{old table name}')
Equipment,ID,No matching 'NMAquifer Field Name' (after normalization)
Equipment,SSMA_TimeStamp,No matching 'NMAquifer Field Name' (after normalization)
FieldNotesScans,LocationId,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldNotesScans,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldNotesScans,NoteType_id,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldNotesScans,OLEPath,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldNotesScans,OBJECTID,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldNotesScans,GlobalID,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,SamplePtID,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,SamplePointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,FieldParameter,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,SampleValue,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,Units,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,Notes,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,OBJECTID,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,GlobalID,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,AnalysesAgency,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,WCLab_ID,No corresponding sheet (expected 'NMAquifer_{old table name}')
FieldParameters,SSMA_TimeStamp,No corresponding sheet (expected 'NMAquifer_{old table name}')
